# version<TAB>risk<TAB>scope<TAB>reason
000001	normal	schema	initial schema on a new database
000002	normal	schema	additive organization profile table
000003	normal	schema	additive snapshot columns
000004	normal	schema	additive source configuration
000005	normal	mixed	additive scheduler schema with initial scheduler configuration
000006	normal	schema	additive graph projection ledger
000007	normal	schema	additive edge provenance
000008	normal	schema	additive benchmark foundation
000009	high	data	benchmark metric data rewrite
000010	normal	mixed	additive market sector foundation with profile backfill
000011	normal	schema	additive sector convergence
000012	high	data	convergence alias data repair
000013	high	data	convergence alias order normalization
000014	normal	schema	additive industry chain foundation
000015	high	mixed	industry chain node refactor and data rewrite
000016	high	schema	external identifier constraint migration
000017	normal	mixed	additive chain node relations with retirement of the previous relation tables
000018	high	schema	alliance and economy foundation reinitialization
000019	high	schema	event fact contract constraint migration
000020	high	mixed	event import receipt schema and tag seed publication
000021	normal	schema	additive research theme and anchor foundation
000022	normal	schema	additive raw document import receipts
000023	high	schema	transmission stage constraint correction
000024	high	mixed	research theme receipt backfill and constraints
000025	high	schema	legacy Anchor APIs removed; destructive empty-table reasoning tree rebuild
000026	high	schema	research anchor branch summaries require empty publication tables
000027	high	schema	additive typed master data schema with new identity constraints and forward-only triggers
000028	high	schema	chain node review promotion identity validation trigger
000029	high	mixed	replace and remove the previous Data ingestion control-plane schema
000030	high	schema	forward-only Industry relationship import contract with fail-closed empty-table checks
000031	high	mixed	destructive Theme and Reason Tree V1 publication-table rebuild
000032	high	mixed	Event semantics schema, reference backfill, and initial TBox/ABox catalog publication
000033	high	schema	forward-only atomic Theme publication lineage constraints and indexes
000034	normal	schema	additive partial index for stable Event Semantic eligible scans
000035	normal	schema	additive compact Event Semantic context manifest and selected anchor resolution bindings
000036	high	mixed	Event Semantic V2 schema, authored definition backfill, and policy publication
000037	high	mixed	Entity Type Definition semantic boundary columns and authored active-definition backfill
000038	high	mixed	remove primary Event Evidence columns after evidence statement backfill
000039	normal	schema	rebuild the Event Semantic eligible scan index without requiring event_time
000040	high	data	completion of the active Event Semantic Entity Type catalog
000041	high	schema	forward-only Analyst snapshot publication identity constraints and nullable formal-reference columns
000042	high	schema	forward-only Raw Evidence and immutable atomic Evidence publication contracts
000043	normal	schema	add database-owned creation timestamps for future Raw Evidence and Evidence rows without historical backfill
000044	high	mixed	remove retired Evidence publication receipt tables and their historical audit rows after the receipt-free application became the rollback baseline
000045	high	mixed	drop database-backed Entity Type Definitions and add the independent Region fact schema for the Tidewise AI 2.0 cutover
000046	high	mixed	replace Economy with independent Country facts and Country-to-Region relationships in a coordinated Tidewise AI 2.0 cutover
000047	normal	mixed	add Raw Evidence category schema and publish the fixed 11-category contract catalog
000048	high	mixed	replace legacy Alliance facts with independent Organization schema and retire dependent immutable aggregates in a coordinated cutover
000049	high	mixed	retire benchmark and metric Entity facts and the graph projection ledger in a snapshot-protected cutover
000050	high	mixed	rewrite domain object identities and Country codes in a snapshot-protected stop-write cutover
000051	high	mixed	rewrite all remaining independent business primary keys and foreign keys to registered prefixed identities
000052	high	data	rewrite embedded business identity arrays and research receipt maps to registered prefixed identities
000053	high	schema	forward-only zero-compatibility Organization and Evidence primary-key id unification without historical backfill
000054	high	schema	forward-only zero-compatibility Organization Function primary-key id addition without historical backfill
000055	high	mixed	delete historical Atomic Evidence and replace layered source columns with summary and strict 5W1H semantic JSONB
000056	high	mixed	preserve and detach Industry and Concept facts plus object references from shadow Entity rows in a stop-write cutover
000057	high	mixed	preserve and detach ChainNode and IndustryChain facts plus graph and Research references from shadow Entity rows in a stop-write cutover
000058	high	mixed	rewrite four independent object prefixes and every direct polymorphic and JSONB reference in a stop-write cutover
