# version	classification	scope	reason
001	normal	mixed	Create Agent definition schema and initial version registry.
002	normal	schema	Create execution and connector invocation state.
003	normal	schema	Create legacy provider configuration storage.
004	normal	mixed	Add collector publication audit schema and backfill execution state.
005	normal	mixed	Split model and connector configuration tables and migrate provider configuration.
006	normal	mixed	Add Agent schedule schema and backfill execution trigger metadata.
007	high	mixed	Add durable Event Fact state and register its Agent definition and version.
008	normal	schema	Add Artifact Unit extraction state and nullable Unit lineage without rewriting existing Event Fact rows.
009	normal	mixed	Add Event Semantic Work Item schema and register its Agent definition and version.
010	normal	schema	Extend the Event Semantic Work Item status constraint with the history-only skipped terminal state.
011	normal	data	Register the immutable Event Semantic V2 Agent Version without rewriting existing Executions.
012	normal	mixed	Register the immutable Event Semantic V3 Agent Version and add bounded per-stage audit persistence.
013	normal	data	Register the immutable Event Fact V2 Function Calling Agent Version.
014	normal	schema	Allow one Event Artifact Unit to own multiple bounded Publication Journals.
015	normal	schema	Add monitoring time-window indexes without rewriting AgentRun facts.
016	normal	data	Register the immutable Event Semantic V4 Agent Version for the database-type-definition-free context contract.
