":START_ID",":END_ID",":TYPE","chain_id","relation_key","contextual_stage","position","mechanism"
"0000b517-76f2-57cf-8e77-18fb96559100","2cc845d1-a6ed-55a2-be83-29b89fd0c3b7","INPUT_TO","ce5fa84c-4665-55dd-ac23-acc28878a782","industry_chain:cobalt_metal|chain_node:v2_b8de371727c4291a79d664c44a544f9ec632203b|input_to|chain_node:v2_0af27c8e228ee5ea1c4d770403368c43442cd5af","","","钴盐的合格材料、设备输出或专业服务直接进入钴电积工序的生产、集成或运营。"
"000949ac-b541-5d8e-85a1-75f8c2da2954","551729c5-3244-5c39-8702-afa3b63c30f8","HAS_NODE","000949ac-b541-5d8e-85a1-75f8c2da2954","industry_chain:medical_devices_and_equipment|has_node|chain_node:v2_d577f2ccde920a89d72c2f9347c28d78cb81edc7","upstream","1","冻结链scope列出“软件”，并完成节点边界及直接经济作用复核；医疗设备嵌入式软件是该选定路线的核心可观测经济单元。"
"000949ac-b541-5d8e-85a1-75f8c2da2954","75c2e6e2-c846-563b-85c2-8bd7fa8a178e","HAS_NODE","000949ac-b541-5d8e-85a1-75f8c2da2954","industry_chain:medical_devices_and_equipment|has_node|chain_node:v2_15d7e9614c85ba2978d63da842e46df334996063","midstream","2","冻结链target_output列出“监护”，并完成节点边界及直接经济作用复核；多参数患者监护仪是该选定路线的核心可观测经济单元。"
"000949ac-b541-5d8e-85a1-75f8c2da2954","bbbc17fc-36de-5b1b-9e8c-2870e2eef49e","HAS_NODE","000949ac-b541-5d8e-85a1-75f8c2da2954","industry_chain:medical_devices_and_equipment|has_node|chain_node:v2_d0b33be0a20a6605e27e6e33cca176eb24834624","upstream","1","冻结链scope列出“传感器”，并完成节点边界及直接经济作用复核；医用生理参数传感器是该选定路线的核心可观测经济单元。"
"000949ac-b541-5d8e-85a1-75f8c2da2954","dfa5d3d0-1f31-53d8-81ca-5e6b43c06298","HAS_NODE","000949ac-b541-5d8e-85a1-75f8c2da2954","industry_chain:medical_devices_and_equipment|has_node|chain_node:v1_41deb734126905ecfd6701e52ef1c36d097cb4c4","downstream","3","冻结链end_use列出“医院”，并完成节点边界及直接经济作用复核；医院医疗服务是该选定路线的核心可观测经济单元。"
"000949ac-b541-5d8e-85a1-75f8c2da2954","e305f620-3807-5221-8462-60e6b6fc1dfc","HAS_NODE","000949ac-b541-5d8e-85a1-75f8c2da2954","industry_chain:medical_devices_and_equipment|has_node|chain_node:v2_f1c8e39eef0d8ea21b62fcdf712c984225404dce","upstream","1","冻结链scope列出“注册”，并完成节点边界及直接经济作用复核；医疗器械注册检验服务是该选定路线的核心可观测经济单元。"
"000949ac-b541-5d8e-85a1-75f8c2da2954","55229ab2-1dd1-5573-bf35-6930f3b7030f","MAPPED_TO_INDUSTRY","000949ac-b541-5d8e-85a1-75f8c2da2954","industry_chain:medical_devices_and_equipment|mapped_to_industry|industry:sw:workbook_snapshot_v1:370502","","","该行业因子直接发现本链，产业链目标产出“用于诊断、监护、治疗和康复的耐用医疗设备”及范围“从电子元件、传感器、光学件、材料和软件到设备研发、注册、制造、渠道、装机、维保与更新”与“医疗设备”行业形成实质覆盖；不是仅凭名称共现建立的关系。"
"0009eded-3837-532a-9e71-5cc202c0a490","3332dd6b-7300-5b47-a00d-c8a565147b7c","INPUT_TO","c90734c6-fab2-5214-9d0c-d3fd68640a3f","industry_chain:procurement_execution_services|chain_node:v2_470aeec60aa168d495f4140d016345a2933a30b4|input_to|chain_node:v1_5a1061d60dfc21c3c8a24b22e95acfd684f2b3eb","","","供应商寻源与询比价服务以材料、产品、数据、权利或专业服务交付物形式直接进入采购执行服务；本边不跨越另一可独立采购或验收的中间节点。"
"00236f3a-fd2e-596a-9739-0a87703a3a31","40c1d72d-01cc-532e-87cd-4d945f983715","INPUT_TO","3374b4ad-f297-52b8-9a18-b3f55019a4af","industry_chain:human_resources_services|chain_node:v2_589ad05a432f5b7a4adb3d9cb18639c3d9161461|input_to|chain_node:v1_a1fbb04888bbef06b2cf6a927ebdf4db7369a001","","","人才数据库服务以材料、产品、数据或专业服务形式直接进入人力资源服务的生产或运营；本边不跨越另一独立中间产品。"
"0047322c-dcaa-5505-943a-bf21b0dd40b9","25e6211a-78d9-527d-9ea2-0c4b21966281","INPUT_TO","941d393b-09f4-51f8-914f-fe7a9631661f","industry_chain:cement|chain_node:v2_7fb246f4c23208b272a4c58d104094dddf38d637|input_to|chain_node:v2_fa2a3539ac701b36b9ec2b99f807f0d5a347acba","","","石灰石作为合格材料、设备输出或专业服务，直接进入水泥熟料的生产、集成或运营。"
